"sum","original_data_pts","SU","site","transect","key","img_name","cup_SI","anem_SI","bivalve_SI","CaCuc_MS","crab_MS","CucEmb_SI","encru_SI","gastro_MS","HydBry_SI","KelpBry_SI","scallop_SI","SponSol_SI","SStar_MS","TunSol_SI","urchin_MS","shell_SU","SS_SU","bould_SU","cob_SU","concr_SU","lgshell_SU","peb_SU","reef_SU","wood_SU","anth_SU","fish_MS","glass_SU","metal_SU","poly_SU","UNIdent","X3rib_KE","X5rib_KE","art_CA","branch_RE","broad_KE","bullBL_KE","bullST_KE","bushy_RE","cabb_KE","coland_KE","cord_KE","crust_CA","DiRet_KE","feath_KE","filam_BR","filam_RE","FlatAci_BR","fucus_BR","giant_KE","holdfas_BR","LaEph_KE","LaLoSi_KE","leaf_RE","palm_KE","ribbn_KE","sargass_BR","senes_AL","senes_RE","split_KE","stalk_KE","strap_KE","StriAci_BR","sugar_KE","ulva_GR","undaria_BR","unk_BR","unk_RE","eel_SG","surf_SG"
1,100,16,1,1,"1_1","2022_10_06_13-50-40_208.jpg",0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0.03,0.02,0,0.04,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79,0,0,0.03,0,0,0
1,100,17,1,1,"1_1","2022_10_06_13-50-40_216.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.02,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0.01,0,0.07,0,0,0
1,100,18,1,1,"1_1","2022_10_06_13-50-40_224.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.03,0,0.03,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66,0.06,0,0.01,0,0,0
1,100,19,1,1,"1_1","2022_10_06_13-50-40_232.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.05,0,0.04,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.03,0,0.04,0,0,0
1,100,20,1,1,"1_1","2022_10_06_13-50-40_24.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0.03,0,0.11,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0.02,0,0.03,0,0,0
1,100,21,1,1,"1_1","2022_10_06_13-50-40_240.jpg",0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.18,0.07,0,0.16,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0.28,0.04,0,0.07,0,0,0
1,100,22,1,1,"1_1","2022_10_06_13-50-40_248.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.01,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0,0.01,0,0,0
1,100,23,1,1,"1_1","2022_10_06_13-50-40_256.jpg",0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0.06,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,0,0,0.01,0,0,0
1,100,24,1,1,"1_1","2022_10_06_13-50-40_264.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.02,0,0.03,0,0,0,0,0,0,0,0,0,0,0.04,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49,0.02,0,0.05,0,0,0
1,100,25,1,1,"1_1","2022_10_06_13-50-40_272.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.04,0,0,0,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0,0,0.08,0,0,0
1,100,26,1,1,"1_1","2022_10_06_13-50-40_280.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0.28,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47,0,0,0.05,0,0,0
1,100,27,1,1,"1_1","2022_10_06_13-50-40_288.jpg",0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0.06,0.01,0,0.01,0,0,0.02,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.01,0,0.04,0,0,0
1,100,28,1,1,"1_1","2022_10_06_13-50-40_296.jpg",0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.06,0.02,0,0.02,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0.02,0,0,0
1,100,29,1,1,"1_1","2022_10_06_13-50-40_304.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0.07,0,0,0
1,100,30,1,1,"1_1","2022_10_06_13-50-40_312.jpg",0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.12,0.03,0,0.03,0,0,0.01,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0.01,0,0,0
1,100,31,1,1,"1_1","2022_10_06_13-50-40_32.jpg",0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.19,0.01,0,0.01,0,0,0.02,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.59,0.02,0,0.01,0,0,0
1,100,32,1,1,"1_1","2022_10_06_13-50-40_320.jpg",0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.12,0.02,0,0.05,0,0,0.01,0,0,0,0,0,0,0,0.04,0,0.06,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0.05,0,0,0
1,100,33,1,1,"1_1","2022_10_06_13-50-40_328.jpg",0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0.13,0.03,0,0,0,0,0.01,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.01,0,0.01,0,0,0
1,100,34,1,1,"1_1","2022_10_06_13-50-40_336.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.06,0,0.03,0,0,0.01,0,0,0,0,0,0,0,0.06,0,0.05,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0,0,0.05,0,0,0
1,100,35,1,1,"1_1","2022_10_06_13-50-40_344.jpg",0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0.08,0.06,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78,0,0,0,0,0,0
1,100,36,1,1,"1_1","2022_10_06_13-50-40_352.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.02,0,0.04,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0.08,0,0,0,0,0
1,100,37,1,1,"1_1","2022_10_06_13-50-40_360.jpg",0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0.13,0.01,0,0.19,0,0,0.07,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.06,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0.02,0,0,0,0,0
1,100,38,1,1,"1_1","2022_10_06_13-50-40_368.jpg",0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.13,0.01,0,0.14,0,0,0.03,0,0,0,0,0,0,0,0.01,0,0.01,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0.02,0,0,0,0,0
1,100,39,1,1,"1_1","2022_10_06_13-50-40_376.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0.05,0,0,0.01,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,0.03,0,0,0,0,0
1,100,40,1,1,"1_1","2022_10_06_13-50-40_384.jpg",0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.08,0.01,0,0.02,0,0,0.08,0,0,0,0,0,0,0,0.01,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0.01,0,0,0,0,0
1,100,41,1,1,"1_1","2022_10_06_13-50-40_392.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0
1,100,42,1,1,"1_1","2022_10_06_13-50-40_40.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.01,0.03,0.02,0,0,0.03,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0
1,100,43,1,1,"1_1","2022_10_06_13-50-40_400.jpg",0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0
1,100,44,1,1,"1_1","2022_10_06_13-50-40_408.jpg",0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.1,0.06,0.03,0.01,0,0,0.03,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72,0,0,0,0,0,0
1,100,45,1,1,"1_1","2022_10_06_13-50-40_416.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0.05,0,0,0,0.01,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66,0.02,0,0,0,0,0
1,100,46,1,1,"1_1","2022_10_06_13-50-40_424.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0.04,0.09,0.04,0.04,0,0,0,0,0,0,0,0,0,0,0.06,0,0.03,0,0.03,0,0,0,0,0,0,0,0,0,0,0.06,0.03,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0.44,0.03,0,0,0,0,0
1,100,47,1,1,"1_1","2022_10_06_13-50-40_432.jpg",0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.05,0.03,0,0.01,0,0,0,0,0,0,0,0,0,0,0.41,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0.28,0.01,0,0,0,0,0
1,100,48,1,1,"1_1","2022_10_06_13-50-40_440.jpg",0,0,0,0,0,0,0.02,0,0,0.01,0,0,0,0,0,0.02,0.04,0.05,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.06,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0
1,100,49,1,1,"1_1","2022_10_06_13-50-40_448.jpg",0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.01,0.04,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92,0,0,0,0,0,0
1,100,50,1,1,"1_1","2022_10_06_13-50-40_456.jpg",0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97,0,0,0,0,0,0
1,100,51,1,1,"1_1","2022_10_06_13-50-40_464.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92,0,0,0,0,0,0
1,100,52,1,1,"1_1","2022_10_06_13-50-40_472.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0
1,100,53,1,1,"1_1","2022_10_06_13-50-40_48.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.08,0,0.08,0,0,0.05,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0.02,0,0.05,0,0,0
1,100,54,1,1,"1_1","2022_10_06_13-50-40_480.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.02,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.84,0.03,0,0,0,0,0
1,100,55,1,1,"1_1","2022_10_06_13-50-40_488.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0.08,0,0,0,0,0
1,100,56,1,1,"1_1","2022_10_06_13-50-40_56.jpg",0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.15,0.04,0,0.04,0,0,0.04,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68,0.01,0,0,0,0,0
1,100,57,1,1,"1_1","2022_10_06_13-50-40_64.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.02,0,0.01,0,0,0.04,0,0,0,0,0,0,0,0.07,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0,0,0,0,0,0
1,100,58,1,1,"1_1","2022_10_06_13-50-40_72.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0.08,0,0,0.05,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0.08,0,0,0,0,0
1,100,59,1,1,"1_1","2022_10_06_13-50-40_8.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.01,0,0.07,0,0,0,0,0,0,0,0,0,0,0.03,0,0.02,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61,0.02,0,0.05,0,0,0
1,100,60,1,1,"1_1","2022_10_06_13-50-40_80.jpg",0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.28,0.01,0,0.07,0,0,0.09,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0.03,0,0,0,0,0
1,100,61,1,1,"1_1","2022_10_06_13-50-40_88.jpg",0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.07,0.01,0.01,0.01,0,0,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76,0.07,0,0,0,0,0
1,100,62,1,1,"1_1","2022_10_06_13-50-40_96.jpg",0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.08,0.02,0.01,0.01,0,0,0.07,0,0,0,0,0,0,0,0.01,0,0.08,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0
1,100,63,1,2,"1_2","2022_10_06_14-05-43_0.jpg",0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0.1,0,0,0.02,0,0,0.04,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0,0,0,0,0,0
1,100,64,1,2,"1_2","2022_10_06_14-05-43_104.jpg",0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0.03,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47,0.12,0,0.01,0,0,0
1,100,65,1,2,"1_2","2022_10_06_14-05-43_112.jpg",0,0,0,0,0.01,0,0,0,0,0.01,0,0,0,0,0,0.11,0,0,0.19,0,0,0.05,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0.05,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.02,0,0,0,0,0
1,100,66,1,2,"1_2","2022_10_06_14-05-43_120.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.09,0,0,0.01,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79,0.02,0,0,0,0,0
1,100,67,1,2,"1_2","2022_10_06_14-05-43_128.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0.01,0,0.11,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66,0.01,0,0,0,0,0
1,100,68,1,2,"1_2","2022_10_06_14-05-43_136.jpg",0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.14,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0
1,100,69,1,2,"1_2","2022_10_06_14-05-43_144.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92,0,0,0.01,0,0,0
